,Player,Year,Season_Year,Draft,Rank,Experience,Height,Weight,Position,Age,Team_ID,Games,GS,Mins_Played,Field_Goal,FG_attempts,FG_percent,3_Point_FG,3P_attempts,3P_percent,2_Point_FG,2P_attempts,2P_percent,eFG%,Free_Throw,FT_attempts,FT_percent,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Player_Career_Salary,Player_Season_Salary,Mins_Played_per_game,Total_Rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_Fouls_per_game,Points_per_game
6419,George Hill,2020,2019-20,San Antonio Spurs,0.0,13,76.0,188.0,PG,33,MIL,59,2,1271,194,376,0.516,81,176,0.46,113,200,0.565,0.624,85,101,0.842,50,127,177,180,47,5,57,84,554,104055909,10133907.0,21.5,3.0,3.1,0.8,0.1,1.0,1.4,9.4
6425,Jrue Holiday,2020,2019-20,Philadelphia 76ers,2.0,12,75.0,205.0,SG,29,NOP,61,61,2117,458,1006,0.455,122,346,0.353,336,660,0.509,0.516,129,182,0.709,77,216,293,408,99,48,184,145,1167,150443496,25111111.0,34.7,4.8,6.7,1.6,0.8,3.0,2.4,19.1
6430,Al Horford,2020,2019-20,Atlanta Hawks,47.0,14,81.0,240.0,C,33,PHI,67,61,2025,319,709,0.45,99,283,0.35,220,426,0.516,0.52,61,80,0.763,103,353,456,270,52,61,80,142,798,216228232,28000000.0,30.2,6.8,4.0,0.8,0.9,1.2,2.1,11.9
6433,Dwight Howard,2020,2019-20,Orlando Magic,1.0,17,82.0,265.0,C,34,LAL,69,2,1306,202,277,0.729,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517,246191190,2564753.0,18.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5
6438,Serge Ibaka,2020,2019-20,Seattle SuperSonics,0.0,12,82.0,235.0,C,30,TOR,55,27,1485,343,670,0.512,70,182,0.385,273,488,0.559,0.564,89,124,0.718,114,338,452,77,28,46,109,153,845,129323662,23271604.0,27.0,8.2,1.4,0.5,0.8,2.0,2.8,15.4
6439,Andre Iguodala,2020,2019-20,Philadelphia 76ers,27.0,17,78.0,215.0,SF,36,MIA,21,0,418,38,88,0.432,14,47,0.298,24,41,0.585,0.511,6,15,0.4,17,61,78,51,14,21,26,35,96,184324259,17185185.0,19.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6
6440,Ersan Ä°lyasova,2020,2019-20,Milwaukee Bucks,0.0,13,81.0,235.0,PF,32,MIL,63,8,986,146,313,0.466,50,137,0.365,96,176,0.545,0.546,72,87,0.828,62,240,302,49,24,17,34,95,414,69010749,7000000.0,15.7,4.8,0.8,0.4,0.3,0.5,1.5,6.6
6454,LeBron James,2020,2019-20,Cleveland Cavaliers,1.0,18,81.0,250.0,PG,35,LAL,67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,349331046,37436858.0,34.6,7.8,10.2,1.2,0.5,3.9,1.8,25.3
6473,DeAndre Jordan,2020,2019-20,Los Angeles Clippers,13.0,13,83.0,265.0,C,31,BRK,56,6,1234,191,287,0.666,0,0,0.0,191,287,0.666,0.666,83,122,0.68,141,420,561,105,18,52,74,114,465,151642365,9881598.0,22.0,10.0,1.9,0.3,0.9,1.3,2.0,8.3
6513,Brook Lopez,2020,2019-20,New Jersey Nets,9.0,13,84.0,282.0,C,31,MIL,68,67,1817,292,671,0.435,102,325,0.314,190,346,0.549,0.511,127,152,0.836,58,254,312,99,46,163,70,163,813,145877186,12093024.0,26.7,4.6,1.5,0.7,2.4,1.0,2.4,12.0
6514,Robin Lopez,2020,2019-20,Phoenix Suns,19.0,13,84.0,281.0,C,31,MIL,66,5,958,147,299,0.492,35,105,0.333,112,194,0.577,0.55,28,53,0.528,56,105,161,45,10,45,63,96,357,91459944,4767000.0,14.5,2.4,0.7,0.2,0.7,1.0,1.5,5.4
6515,Kevin Love,2020,2019-20,Memphis Grizzlies,2.0,13,80.0,251.0,PF,31,CLE,56,56,1780,327,727,0.45,146,390,0.374,181,337,0.537,0.55,187,219,0.854,54,493,547,178,33,19,140,90,987,206522555,28942830.0,31.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6
6516,Kyle Lowry,2020,2019-20,Memphis Grizzlies,29.0,15,72.0,196.0,PG,33,TOR,58,58,2098,334,803,0.416,164,466,0.352,170,337,0.504,0.518,294,343,0.857,32,260,292,433,82,26,178,190,1126,188457917,33296296.0,36.2,5.0,7.5,1.4,0.4,3.1,3.3,19.4
6533,Wesley Matthews,2020,2019-20,0,61.0,12,76.0,220.0,SG,33,MIL,67,67,1635,167,422,0.396,108,297,0.364,59,125,0.472,0.524,52,68,0.765,22,144,166,92,38,9,43,103,494,109916346,2564753.0,24.4,2.5,1.4,0.6,0.1,0.6,1.5,7.4
6540,JaVale McGee,2020,2019-20,Washington Wizards,0.0,13,84.0,270.0,C,32,LAL,68,68,1130,195,306,0.637,3,6,0.5,192,300,0.64,0.642,53,82,0.646,125,265,390,37,36,94,55,159,446,65692164,4000000.0,16.6,5.7,0.5,0.5,1.4,0.8,2.3,6.6
6557,Paul Millsap,2020,2019-20,Utah Jazz,66.0,15,79.0,257.0,PF,34,DEN,51,48,1240,211,438,0.482,54,124,0.435,157,314,0.5,0.543,115,141,0.816,98,195,293,83,44,30,70,150,591,192682070,30000000.0,24.3,5.7,1.6,0.9,0.6,1.4,2.9,11.6
6622,Chris Paul,2020,2019-20,New Orleans Hornets,6.0,16,72.0,175.0,PG,34,OKC,70,70,2208,434,887,0.489,111,304,0.365,323,583,0.554,0.552,253,279,0.907,26,323,349,472,111,11,161,158,1232,300507923,38506482.0,31.5,5.0,6.7,1.6,0.2,2.3,2.3,17.6
6645,J.J. Redick,2020,2019-20,Orlando Magic,11.0,15,75.0,200.0,SG,35,NOP,60,36,1581,286,631,0.453,180,397,0.453,106,234,0.453,0.596,165,185,0.892,10,141,151,119,20,10,75,96,917,117908008,13486300.0,26.4,2.5,2.0,0.3,0.2,1.2,1.6,15.3
6660,Rajon Rondo,2020,2019-20,Phoenix Suns,21.0,15,73.0,180.0,PG,33,LAL,48,3,984,137,328,0.418,41,125,0.328,96,203,0.473,0.48,27,41,0.659,23,119,142,240,40,2,91,58,342,110397637,2564753.0,20.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1
6699,Jeff Teague,2020,2019-20,Atlanta Hawks,55.0,12,75.0,195.0,PG,31,TOT,59,17,1464,213,489,0.436,43,117,0.368,170,372,0.457,0.48,172,197,0.873,27,115,142,308,44,19,116,106,641,100036543,19000000.0,24.8,2.4,5.2,0.7,0.3,2.0,1.8,10.9
6711,Anthony Tolliver,2020,2019-20,0,0.0,13,80.0,240.0,PF,34,TOT,55,13,872,65,182,0.357,49,145,0.338,16,37,0.432,0.492,21,29,0.724,34,120,154,42,19,11,34,74,200,35327454,434704.0,15.9,2.8,0.8,0.3,0.2,0.6,1.3,3.6
6757,Russell Westbrook,2020,2019-20,Seattle SuperSonics,0.0,13,75.0,200.0,PG,31,HOU,57,57,2049,604,1281,0.472,55,213,0.258,549,1068,0.514,0.493,290,380,0.763,100,351,451,401,93,20,255,200,1553,247765546,38506482.0,35.9,7.9,7.0,1.6,0.4,4.5,3.5,27.2
6767,Lou Williams,2020,2019-20,Philadelphia 76ers,5.0,16,73.0,175.0,PG,33,LAC,65,8,1864,391,936,0.418,111,315,0.352,280,621,0.451,0.477,292,339,0.861,31,170,201,365,43,12,182,80,1185,82208319,8000000.0,28.7,3.1,5.6,0.7,0.2,2.8,1.2,18.2
6779,Thaddeus Young,2020,2019-20,Philadelphia 76ers,6.0,14,80.0,235.0,PF,31,CHI,64,16,1591,269,601,0.448,79,222,0.356,190,379,0.501,0.513,42,72,0.583,94,221,315,117,92,23,102,134,659,122942787,12900000.0,24.9,4.9,1.8,1.4,0.4,1.6,2.1,10.3
6789,LaMarcus Aldridge,2021,2020-21,Chicago Bulls,12.0,15,83.0,250.0,C,35,TOT,26,23,674,140,296,0.473,31,80,0.388,109,216,0.505,0.525,41,47,0.872,19,99,118,49,11,29,27,47,352,213594277,878340.0,25.9,4.5,1.9,0.4,1.1,1.0,1.8,13.5
6805,Carmelo Anthony,2021,2020-21,Denver Nuggets,2.0,18,79.0,238.0,PF,36,POR,69,3,1690,327,777,0.421,133,325,0.409,194,452,0.429,0.506,137,154,0.89,32,182,214,104,46,38,61,144,924,264653337,2564753.0,24.5,3.1,1.5,0.7,0.6,0.9,2.1,13.4
6809,Trevor Ariza,2021,2020-21,New York Knicks,19.0,17,80.0,215.0,SF,35,MIA,30,27,841,99,241,0.411,50,143,0.35,49,98,0.5,0.515,34,44,0.773,27,117,144,55,31,18,21,55,282,116320530,12800000.0,28.0,4.8,1.8,1.0,0.6,0.7,1.8,9.4
6810,D.J. Augustin,2021,2020-21,Charlotte Bobcats,29.0,13,71.0,183.0,PG,33,TOT,57,12,1129,135,343,0.394,83,217,0.382,52,126,0.413,0.515,85,94,0.904,20,74,94,188,28,1,65,56,438,56804977,6666667.0,19.8,1.6,3.3,0.5,0.0,1.1,1.0,7.7
6826,Nicolas Batum,2021,2020-21,Houston Rockets,0.0,13,80.0,230.0,SF,32,LAC,67,38,1835,191,412,0.464,110,272,0.404,81,140,0.579,0.597,48,58,0.828,50,266,316,148,69,37,53,102,540,156135822,2564753.0,27.4,4.7,2.2,1.0,0.6,0.8,1.5,8.1
6918,Mike Conley,2021,2020-21,Memphis Grizzlies,21.0,14,73.0,175.0,PG,33,UTA,51,51,1498,284,640,0.444,138,335,0.412,146,305,0.479,0.552,121,142,0.852,36,141,177,305,70,9,99,98,827,208812026,34504132.0,29.4,3.5,6.0,1.4,0.2,1.9,1.9,16.2
6936,Stephen Curry,2021,2020-21,Golden State Warriors,0.0,12,74.0,185.0,PG,32,GSW,63,63,2152,658,1365,0.482,337,801,0.421,321,564,0.569,0.605,362,395,0.916,29,316,345,363,77,8,213,119,2015,212078086,43006362.0,34.2,5.5,5.8,1.2,0.1,3.4,1.9,32.0
6946,DeMar DeRozan,2021,2020-21,Toronto Raptors,5.0,12,78.0,220.0,PF,31,SAS,61,61,2056,455,920,0.495,19,74,0.257,436,846,0.515,0.505,387,440,0.88,40,219,259,422,56,15,119,128,1316,176705770,27739975.0,33.7,4.2,6.9,0.9,0.2,2.0,2.1,21.6
6962,Goran DragiÄ,2021,2020-21,San Antonio Spurs,0.0,13,75.0,190.0,PG,34,MIA,50,11,1337,240,555,0.432,91,244,0.373,149,311,0.479,0.514,101,122,0.828,25,144,169,219,33,8,118,113,672,133113525,18000000.0,26.7,3.4,4.4,0.7,0.2,2.4,2.3,13.4
6966,Jared Dudley,2021,2020-21,Charlotte Bobcats,0.0,14,78.0,237.0,PF,35,LAL,12,0,81,2,9,0.222,2,6,0.333,0,3,0.0,0.333,0,0,0.0,4,17,21,5,1,1,2,7,6,62197534,2564753.0,6.8,1.8,0.4,0.1,0.1,0.2,0.6,0.5
6973,Wayne Ellington,2021,2020-21,Minnesota Timberwolves,8.0,12,76.0,207.0,SG,33,DET,46,31,1012,149,338,0.441,116,275,0.422,33,63,0.524,0.612,28,35,0.8,12,73,85,67,18,9,33,59,442,45793775,1000000.0,22.0,1.8,1.5,0.4,0.2,0.7,1.3,9.6
7006,Marc Gasol,2021,2020-21,Los Angeles Lakers,0.0,13,83.0,255.0,C,36,LAL,52,42,993,88,194,0.454,50,122,0.41,38,72,0.528,0.582,36,50,0.72,38,177,215,109,26,58,53,115,262,183104600,2564753.0,19.1,4.1,2.1,0.5,1.1,1.0,2.2,5.0
7007,Rudy Gay,2021,2020-21,Houston Rockets,5.0,15,80.0,250.0,PF,34,SAS,63,1,1358,264,628,0.42,106,278,0.381,158,350,0.451,0.505,82,102,0.804,42,261,303,88,45,40,65,115,716,165546169,14500000.0,21.6,4.8,1.4,0.7,0.6,1.0,1.8,11.4
7009,Taj Gibson,2021,2020-21,Chicago Bulls,46.0,12,81.0,232.0,C,35,NYK,45,3,936,99,158,0.627,3,15,0.2,96,143,0.671,0.636,40,55,0.727,99,151,250,36,31,49,22,99,241,79592655,3283684.0,20.8,5.6,0.8,0.7,1.1,0.5,2.2,5.4
7019,Eric Gordon,2021,2020-21,Los Angeles Clippers,3.0,13,75.0,215.0,SG,32,HOU,27,13,789,159,367,0.433,69,210,0.329,90,157,0.573,0.527,94,114,0.825,8,50,58,71,14,13,51,44,481,140412272,16869276.0,29.2,2.1,2.6,0.5,0.5,1.9,1.6,17.8
7022,Danny Green,2021,2020-21,Cleveland Cavaliers,15.0,12,78.0,215.0,SF,33,PHI,69,69,1934,224,544,0.412,175,432,0.405,49,112,0.438,0.573,31,40,0.775,55,205,260,118,92,56,67,125,654,82693630,15365853.0,28.0,3.8,1.7,1.3,0.8,1.0,1.8,9.5
7043,James Harden,2021,2020-21,Oklahoma City Thunder,17.0,12,77.0,220.0,PG-SG,31,TOT,44,43,1609,342,734,0.466,121,334,0.362,221,400,0.553,0.548,278,323,0.861,35,313,348,475,53,33,177,99,1083,227685662,41254920.0,36.6,7.9,10.8,1.2,0.8,4.0,2.2,24.6
7064,Udonis Haslem,2021,2020-21,0,72.0,18,80.0,235.0,C,40,MIA,1,0,3,2,2,1.0,0,0,0.0,2,2,1.0,1.0,0,0,0.0,0,1,1,0,0,0,0,0,4,65498692,2564753.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
7072,George Hill,2021,2020-21,San Antonio Spurs,0.0,13,76.0,188.0,PG,34,TOT,30,17,672,95,197,0.482,31,80,0.388,64,117,0.547,0.561,40,50,0.8,16,45,61,73,23,5,31,31,261,104055909,9590602.0,22.4,2.0,2.4,0.8,0.2,1.0,1.0,8.7
7079,Jrue Holiday,2021,2020-21,Philadelphia 76ers,2.0,12,75.0,205.0,PG,30,MIL,59,56,1907,414,823,0.503,111,283,0.392,303,540,0.561,0.57,107,136,0.787,73,195,268,357,96,37,127,98,1046,150443496,25111111.0,32.3,4.5,6.1,1.6,0.6,2.2,1.7,17.7
7086,Al Horford,2021,2020-21,Atlanta Hawks,47.0,14,81.0,240.0,C,34,OKC,28,28,782,162,360,0.45,56,152,0.368,106,208,0.51,0.528,18,22,0.818,29,159,188,94,25,26,29,48,398,216228232,27500000.0,27.9,6.7,3.4,0.9,0.9,1.0,1.7,14.2
7089,Dwight Howard,2021,2020-21,Orlando Magic,1.0,17,82.0,265.0,C,35,PHI,69,6,1196,178,303,0.587,5,20,0.25,173,283,0.611,0.596,121,210,0.576,190,390,580,61,30,62,112,200,482,246191190,2564753.0,17.3,8.4,0.9,0.4,0.9,1.6,2.9,7.0
7097,Serge Ibaka,2021,2020-21,Seattle SuperSonics,0.0,12,82.0,235.0,C,31,LAC,41,39,955,186,365,0.51,39,115,0.339,147,250,0.588,0.563,43,53,0.811,73,202,275,74,9,47,44,76,454,129323662,9258000.0,23.3,6.7,1.8,0.2,1.1,1.1,1.9,11.1
7098,Andre Iguodala,2021,2020-21,Philadelphia 76ers,27.0,17,78.0,215.0,SF,37,MIA,63,5,1339,95,248,0.383,60,182,0.33,35,66,0.53,0.504,25,38,0.658,38,183,221,142,57,35,67,90,275,184324259,15000000.0,21.3,3.5,2.3,0.9,0.6,1.1,1.4,4.4
7099,Ersan Ä°lyasova,2021,2020-21,Milwaukee Bucks,0.0,13,81.0,235.0,PF,33,UTA,17,1,148,21,54,0.389,18,41,0.439,3,13,0.231,0.556,5,5,1.0,7,22,29,4,10,3,8,29,65,69010749,1194542.0,8.7,1.7,0.2,0.6,0.2,0.5,1.7,3.8
7114,LeBron James,2021,2020-21,Cleveland Cavaliers,1.0,18,81.0,250.0,PG,36,LAL,45,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,349331046,39219566.0,33.4,7.7,7.8,1.1,0.6,3.7,1.6,25.0
7140,DeAndre Jordan,2021,2020-21,Los Angeles Clippers,13.0,13,83.0,265.0,C,32,BRK,57,43,1246,190,249,0.763,0,1,0.0,190,248,0.766,0.763,46,92,0.5,117,310,427,93,17,65,85,116,426,151642365,10375678.0,21.9,7.5,1.6,0.3,1.1,1.5,2.0,7.5
7184,Brook Lopez,2021,2020-21,New Jersey Nets,9.0,13,84.0,282.0,C,32,MIL,70,70,1902,322,640,0.503,95,281,0.338,227,359,0.632,0.577,120,142,0.845,104,243,347,50,40,103,64,149,859,145877186,12697675.0,27.2,5.0,0.7,0.6,1.5,0.9,2.1,12.3
7185,Robin Lopez,2021,2020-21,Phoenix Suns,19.0,13,84.0,281.0,C,32,WAS,71,9,1354,269,425,0.633,5,18,0.278,264,407,0.649,0.639,99,137,0.723,141,131,272,55,15,44,75,109,642,91459944,7300000.0,19.1,3.8,0.8,0.2,0.6,1.1,1.5,9.0
7187,Kevin Love,2021,2020-21,Memphis Grizzlies,2.0,13,80.0,251.0,PF,32,CLE,25,25,622,103,252,0.409,57,156,0.365,46,96,0.479,0.522,42,51,0.824,17,169,186,63,16,2,38,26,305,206522555,31258256.0,24.9,7.4,2.5,0.6,0.1,1.5,1.0,12.2
7188,Kyle Lowry,2021,2020-21,Memphis Grizzlies,29.0,15,72.0,196.0,PG,34,TOR,46,46,1601,260,596,0.436,131,331,0.396,129,265,0.487,0.546,140,160,0.875,35,212,247,338,45,14,126,143,791,188457917,30500000.0,34.8,5.4,7.3,1.0,0.3,2.7,3.1,17.2
7208,Wesley Matthews,2021,2020-21,0,61.0,12,76.0,220.0,SG,34,LAL,58,10,1130,89,252,0.353,66,197,0.335,23,55,0.418,0.484,35,41,0.854,20,73,93,54,38,17,26,80,279,109916346,3623000.0,19.5,1.6,0.9,0.7,0.3,0.4,1.4,4.8
7218,JaVale McGee,2021,2020-21,Washington Wizards,0.0,13,84.0,270.0,C,33,TOT,46,2,678,144,282,0.511,5,24,0.208,139,258,0.539,0.52,44,67,0.657,77,162,239,39,19,54,60,121,337,65692164,4200000.0,14.7,5.2,0.8,0.4,1.2,1.3,2.6,7.3
7236,Paul Millsap,2021,2020-21,Utah Jazz,66.0,15,79.0,257.0,PF,35,DEN,56,36,1162,191,401,0.476,49,143,0.343,142,258,0.55,0.537,71,98,0.724,76,186,262,98,51,36,51,111,502,192682070,10000000.0,20.8,4.7,1.8,0.9,0.6,0.9,2.0,9.0
7295,Chris Paul,2021,2020-21,New Orleans Hornets,6.0,16,72.0,175.0,PG,35,PHO,70,70,2199,439,879,0.499,102,258,0.395,337,621,0.543,0.557,169,181,0.934,25,287,312,622,99,19,156,166,1149,300507923,41358814.0,31.4,4.5,8.9,1.4,0.3,2.2,2.4,16.4
7331,J.J. Redick,2021,2020-21,Orlando Magic,11.0,15,75.0,200.0,SG,36,TOT,44,0,723,106,267,0.397,66,178,0.371,40,89,0.449,0.521,49,52,0.942,4,60,64,51,11,3,36,50,327,117908008,13013700.0,16.4,1.5,1.2,0.2,0.1,0.8,1.1,7.4
7352,Rajon Rondo,2021,2020-21,Phoenix Suns,21.0,15,73.0,180.0,PG,34,TOT,45,3,770,95,215,0.442,36,89,0.404,59,126,0.468,0.526,16,17,0.941,18,92,110,199,37,4,79,53,242,110397637,8250000.0,17.1,2.4,4.4,0.8,0.1,1.8,1.2,5.4
7396,Jeff Teague,2021,2020-21,Atlanta Hawks,55.0,12,75.0,195.0,PG,32,TOT,55,7,950,123,284,0.433,36,82,0.439,87,202,0.431,0.496,89,105,0.848,15,73,88,132,34,12,64,56,371,100036543,808073.0,17.3,1.6,2.4,0.6,0.2,1.2,1.0,6.7
7419,Anthony Tolliver,2021,2020-21,0,0.0,13,80.0,240.0,PF,35,PHI,11,0,99,4,17,0.235,4,14,0.286,0,3,0.0,0.353,5,6,0.833,3,7,10,2,3,2,3,7,17,35327454,614838.0,9.0,0.9,0.2,0.3,0.2,0.3,0.6,1.5
7460,Russell Westbrook,2021,2020-21,Seattle SuperSonics,0.0,13,75.0,200.0,PG,32,WAS,65,65,2369,544,1238,0.439,86,273,0.315,458,965,0.475,0.474,271,413,0.656,109,641,750,763,89,23,312,190,1445,247765546,41358814.0,36.4,11.5,11.7,1.4,0.4,4.8,2.9,22.2
7468,Lou Williams,2021,2020-21,Philadelphia 76ers,5.0,16,73.0,175.0,PG,34,TOT,66,4,1423,265,646,0.41,69,173,0.399,196,473,0.414,0.464,150,173,0.867,21,117,138,225,47,6,108,62,749,82208319,8000000.0,21.6,2.1,3.4,0.7,0.1,1.6,0.9,11.3
7486,Thaddeus Young,2021,2020-21,Philadelphia 76ers,6.0,14,80.0,235.0,PF,32,CHI,68,23,1652,370,662,0.559,12,45,0.267,358,617,0.58,0.568,71,113,0.628,168,255,423,291,74,40,137,152,823,122942787,13545000.0,24.3,6.2,4.3,1.1,0.6,2.0,2.2,12.1
